Total,AccLB,InAccLB,AccSP,InAccSP
15.8,0.3,1,12.5,2
17.4,0.5,0.6,13.1,3.1
2,-,-,1,1
4,-,-,2.5,1.5
10.1,0.3,0.4,8.3,1
1,-,-,0.5,0.5
1,-,-,1,-
11.3,0.6,0.7,9,1
3,-,-,2,1
4.3,0.3,-,3.5,0.5
4,-,-,2.5,1.5
15.4,0.6,1.1,12,1.6
6.6,-,0.2,5.3,1.2
29.3,0.7,2.3,24.3,2
2.5,0.5,0.5,1.5,-
4,-,-,4,-
51.8,0.9,2.1,44.3,4.6
6.8,0.1,0.1,4.5,2.1
9.8,0.3,0.4,8.1,1.1
24.8,1.8,1.6,19,2.4
3,-,-,2.1,0.9
5,0.3,-,3.7,1
4,-,-,4,-
12.7,0.4,0.7,9.7,1.9
2.6,0.2,0.3,1.7,0.4
5,-,-,4,1
10,-,1,8,1
6.5,0.5,0.5,5.2,0.3
5,-,-,4.5,0.5
2.3,-,-,1.3,1
2,-,-,2,-
12.5,0.2,-,11,1.3
15,-,-,13.5,1.5
4.6,0.3,-,3.4,0.9
5.5,-,-,5.5,-
4,-,-,3.8,0.3
-,-,-,-,-
30,3,-,25,2
4.3,0.2,0.3,3,0.8
6.3,0.2,-,4.8,1.3
3,-,-,1.5,1.5
20.6,1.1,0.9,16.1,2.4
35.3,1.2,1.3,28.7,4.1
6.9,0.1,-,4.5,2.3
1,-,-,1,-
7,-,0.3,5.7,1
10,2,3,5,-
8.1,-,-,4.6,3.6
1.5,-,-,1,0.5
8.2,0.1,0.4,6.3,1.4
4,-,-,2.6,1.4
6.8,-,-,5.8,1
4,-,0.5,3.5,-
14.3,0.4,0.1,12.4,1.3
4.9,-,0.1,3.2,1.7
8,-,-,7.3,0.7
9.5,1.5,-,6.5,1.5
4.8,-,-,2.9,1.9
17,-,3,14,-
1,-,-,1,-
8.5,-,-,7.5,1
1.5,-,1,-,0.5
3,-,-,1,2
7,-,-,6,1
-,-,-,-,-
4,-,-,1,3
2,-,-,2,-
3.6,-,-,2.7,0.9
4.3,-,-,4,0.3
1.5,-,-,1,0.5
7,-,-,5.5,1.5
5.6,0.2,0.4,3.2,1.8
5.5,0.5,0.5,4.5,-
9.6,0.2,0.6,7.2,1.6
-,-,-,-,-
2,-,-,1,1
